705, 679
-424, 123
-373, 711
597, -848
-944, -362
843, 212
-614, -884
-498, 490
-389, 550
329, -648
-310, 232
-177, -796
-632, -817
782, -869
-979, 85
-655, -143
340, -843
921, -195
-379, -443
-979, -153
161, 37
-984, 111
152, -733
-48, 457
299, -272
-388, 514
-746, 202
-450, -593
-905, 604
251, 931
-572, 687
-256, -509
869, -270
33, 116
-891, 119
674, 824
-417, -961
-560, -470
-504, 308
787, 901
-772, -716
-937, -668
-837, -52
791, -351
99, -612
-586, 38
-975, -914
-423, 880
-750, 572
-262, -330
338, 113
-645, -417
-710, 139
-397, 644
-1000, 883
-437, -702
-381, -328
416, -3
-325, 739
-262, -629
982, 371
-685, 542
-944, -510
433, 290
-673, 421
-776, -310
90, 628
542, 312
765, 15
-372, 321
-22, -711
935, 634
-443, -290
-776, -552
-441, -937
443, -737
369, -114
289, 738
910, -534
176, -924
-933, -615
139, 579
787, 61
-667, -137
860, 292
-193, -109
-6, 98
-174, -377
554, -792
994, -269
-874, -244
-522, -625
510, -745
-565, -829
236, -436
239, 54
504, 771
-355, -436
-207, -938
505, 175
